RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394590,109,"Fayetteville, AR",Msa,AR,39,36,37,30,31,38,39,43,36,37,35,35,38,35,35,36,38,35,37,36,37,36,35,34,37,35,36,38,40,38,38,36,39,42,37,37,42,37,39,35,38,40,35,37,35,32,39,35,32,37,36,32
394971,110,"Pensacola, FL",Msa,FL,27,33,38,37,34,37,39,33,38,38,38,34,30,37,37,38,41,40,39,37,38,37,35,34,40,35,34,40,38,41,33,35,30,38,39,39,38,38,34,39,31,23,37,41,40,37,37,40,41,33,35,32
395195,111,"Visalia, CA",Msa,CA,44,33,38,35,36,36,37,34,32,36,34,28,34,28,29,31,31,34,33,34,33,35,35,36,38,29,30,38,37,35,37,40,40,41,42,43,44,37,36,39,39,38,36,35,35,36,35,35,39,32,33,33
395096,112,"Shreveport, LA",Msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,29,34,35,35,46,35,39,38,36,44,12,29,41,37,37,37,36,39,37,35,37,34,36,33,28,34
395116,113,"Springfield, MO",Msa,MO,36,34,35,36,36,38,35,35,34,34,33,32,35,35,33,36,36,36,34,35,36,35,35,36,37,32,31,38,39,39,39,39,40,41,41,40,42,38,38,37,38,37,38,38,37,37,37,36,37,34,33,34
395244,114,"York, PA",Msa,PA,41,34,36,41,41,41,43,44,41,41,38,41,42,42,37,39,39,39,42,41,43,40,42,39,44,36,34,43,53,41,42,44,44,31,42,44,46,43,40,42,42,44,44,43,44,46,43,45,46,40,38,37
394502,115,"Corpus Christi, TX",Msa,TX,27,26,24,26,27,27,27,25,28,26,24,24,26,24,23,25,27,26,26,25,26,27,27,26,26,19,24,30,29,31,38,40,39,39,41,39,39,36,40,38,39,39,39,37,37,37,36,37,37,33,33,34
394596,116,"Flint, MI",Msa,MI,40,35,36,36,38,39,40,40,37,37,38,34,38,33,35,34,35,36,36,37,38,38,36,36,35,32,27,41,47,36,41,40,42,41,40,43,34,31,35,35,35,36,35,36,37,39,36,38,37,29,30,30
395019,117,"Reno, NV",Msa,NV,36,35,35,34,35,34,36,34,34,34,35,33,34,33,32,33,35,35,35,34,36,34,34,36,18,25,31,37,35,34,36,38,36,38,39,39,38,33,34,33,31,34,32,32,33,32,33,33,34,30,30,31
394338,118,"Asheville, NC",Msa,NC,40,35,34,36,37,39,39,38,39,38,36,38,41,36,38,36,38,38,39,39,39,39,38,39,43,35,30,42,39,39,41,41,42,42,42,42,45,38,42,42,38,41,39,39,39,39,39,40,43,37,35,34
