0,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394943,27,"Orlando, FL",Msa,FL,240397,241395,242544,244816,247088,248862,250529,252276,254068,255752,256846,258134,259691,261217,262196,262379,262862,263378,263916,264088,264577,265008,266052,266953,268518,269791,271383,273280,275163,276167,276821,277884,279382,281539,284236,286880,289673,291613,294274,297253,301813,308293,316440,324591,332386,339314,347449,354655,362218,370057,380148,391625
394466,28,"Cincinnati, OH",Msa,OH,173452,173934,174769,176166,178153,179805,181031,181683,182161,182726,183382,184216,185624,187193,188594,189233,189465,189750,190275,190891,191809,192418,192950,193418,194300,195139,196342,197557,199224,200790,202228,204022,206005,208723,211826,214758,217582,220613,223777,226934,229450,232371,236106,239734,243049,245192,247222,249445,252063,255233,258638,262478
394475,29,"Cleveland, OH",Msa,OH,147309,148761,150106,151188,151356,151697,152167,152562,153128,153595,154490,155328,156330,156874,157547,157872,158780,159218,160020,160480,160894,161147,161296,161951,163007,164124,164995,165939,166705,167598,168705,170860,173324,175811,177833,179575,181419,183351,185802,188234,191909,195940,199766,202187,204069,205405,206845,208361,210149,212599,214965,218311
394735,30,"Kansas City, MO",Msa,MO,189397,191080,192429,193687,194793,195872,196686,197761,198888,199844,200714,201932,203088,204229,204843,205369,205510,205745,206131,206661,207283,207961,208537,209259,210198,211595,213078,214196,214931,215682,217044,219254,221748,224496,227091,229844,232433,236191,240124,244637,248116,251539,254579,257460,259997,262886,265322,268596,272065,276930,280934,284429
394775,31,"Las Vegas, NV",Msa,NV,269812,273305,275091,277858,280126,284012,287518,291338,293949,295725,296605,298449,300237,302105,302482,303644,304054,303929,302371,300819,299546,299790,301304,302853,304444,305658,308117,310798,311119,309329,308435,310786,315352,319097,322549,326123,329826,333328,337284,341994,350884,362459,374673,384123,392014,399252,406888,413645,423773,434320,446461,455392
394492,32,"Columbus, OH",Msa,OH,198096,198158,198878,200703,203202,204996,206507,207553,208365,209390,210380,211480,212806,214431,216075,217243,218450,219359,219931,220246,220957,221996,222776,223889,225453,227320,228737,229985,231164,232368,233546,235292,237473,240045,243279,246767,250323,253300,256435,259553,263469,267645,271934,275349,278361,281389,284680,288103,291636,295730,299940,304597
394705,33,"Indianapolis, IN",Msa,IN,166904,167501,168722,170228,171655,173063,174509,175898,176900,177567,178631,180105,181796,182569,182919,182902,183611,184133,184770,185268,186397,187493,188595,189273,190303,191532,192768,193801,194654,195701,197407,199453,201842,204037,206554,209305,212119,215211,218335,221130,224074,227277,231085,234442,237695,241314,245580,250098,254851,259568,263130,266811
395059,34,"San Jose, CA",Msa,CA,1309099,1340889,1369050,1389792,1413463,1432700,1453758,1447176,1434559,1415927,1404089,1383591,1358847,1336786,1320858,1314376,1307328,1295724,1284207,1275430,1280360,1280384,1284573,1287139,1303711,1320337,1342220,1347801,1329329,1311858,1307390,1335212,1357702,1377673,1392544,1405399,1415450,1418206,1422444,1440265,1483068,1535518,1577232,1601131,1609021,1619756,1636480,1659836,1691379,1733911,1777213,1816893
394355,35,"Austin, TX",Msa,TX,315132,316067,316790,317181,317739,318799,319897,321698,322734,324165,324600,325815,327662,330531,332266,333191,333542,334240,334931,335832,337435,337401,337577,337795,340088,341903,344267,346932,349594,351218,353314,356761,362248,368056,374896,380942,386752,397540,413593,435968,458308,482362,502676,518619,526936,534126,541712,553524,566616,580638,592498,602040
395194,36,"Virginia Beach, VA",Msa,VA,237851,238102,238420,238966,239702,240328,241073,241757,242346,242952,243626,244266,244845,245649,246627,247415,247766,248091,248504,249002,249693,250456,251002,251369,252170,253202,254527,255628,256927,258138,259244,260769,262675,265329,267997,270722,273266,276210,279506,283299,286881,290599,294192,298024,301350,304365,307393,310922,314677,317860,321046,324096
394902,37,"Nashville, TN",Msa,TN,263767,266139,268111,269606,270650,271808,273011,274380,275644,277055,278129,278952,279884,280957,282143,282825,283573,284392,285224,285711,286177,287004,288097,289151,290473,292066,294046,295795,297852,299652,301210,302543,304259,306703,309486,312857,316324,320263,324465,329070,334773,341908,350750,360194,369185,378226,388078,399019,409195,419774,427809,438299
395005,38,"Providence, RI",Msa,RI,306037,307645,309785,311724,313338,314104,315686,317231,318591,318922,319156,319448,319939,319983,321085,322457,323696,324086,324576,324758,325199,325685,327381,328568,329474,330746,332533,334416,335931,336754,338468,341801,346920,352294,357291,362702,368425,373623,378942,384224,390313,397531,405351,413335,418856,423536,427508,431962,436230,440375,444350,448834
394862,39,"Milwaukee, WI",Msa,WI,189332,191394,193335,194639,195443,195380,195745,196300,197162,197964,198515,199270,199594,201202,202806,204521,204828,204537,204618,204901,205264,205888,206453,207909,209174,211134,212813,214484,215824,216799,218224,220331,222731,225351,228325,231701,235092,238567,242127,245263,248283,252337,256673,259551,260878,261040,261842,262453,264269,267064,271068,275385
394714,40,"Jacksonville, FL",Msa,FL,215565,216478,217180,218506,220365,222158,223963,225208,226196,227292,228350,229229,229690,230500,231377,232440,233065,233956,234492,235141,235604,236562,236780,237256,237878,239655,241772,243175,243992,244211,244633,246080,248209,251008,253776,256535,260241,264372,268592,272625,277639,284257,291796,299259,306788,313852,320947,327769,335421,343206,352166,361163
394849,41,"Memphis, TN",Msa,TN,138069,138747,139423,140398,141386,142397,143333,143998,145039,145991,147057,148015,149315,150494,151612,152442,153313,153875,154304,154787,155392,156219,157265,158555,159485,160474,161418,162828,163796,165206,166410,167931,169256,171220,173231,175303,177732,179861,182344,184823,187838,191212,194115,196879,199689,202822,206349,209623,212875,216807,220629,224090
394935,42,"Oklahoma City, OK",Msa,OK,151814,151801,151833,151831,152037,152028,152130,152165,152494,153009,153661,154398,154848,155434,155635,155853,156024,156700,157541,158399,159140,159969,160807,161422,162264,162872,163855,164542,165291,165930,166618,167705,168930,170481,171938,173220,174472,175959,177541,179424,181800,184535,187414,189960,192415,194803,197401,200356,203385,206194,209173,212031
394807,43,"Louisville-Jefferson County, KY",Msa,KY,167674,169080,170301,171123,171694,172428,173165,173819,174284,174834,175023,175422,175819,176538,177257,178105,179125,179963,180493,181008,181748,182625,183444,184497,185685,186798,187604,188567,189277,190073,191110,192921,194776,196714,198699,200721,202594,204617,206920,209442,212171,215140,218121,220372,222438,224456,226718,229320,231684,234235,236540,239325
394669,44,"Hartford, CT",Msa,CT,250057,250512,251251,251462,252081,252447,252689,252516,252270,252090,252263,252746,253035,253308,253419,253719,253504,253670,253458,253510,253502,253832,254264,254560,254994,254873,255717,256308,257265,257923,259917,262598,265972,269284,272961,276083,279054,282440,286194,290576,295965,301240,306216,309673,312900,314947,316948,318741,321907,324512,328070,332765
395022,45,"Richmond, VA",Msa,VA,231526,232911,234244,235157,235692,236299,237176,237987,238796,239711,241009,242328,243549,244600,245384,246088,246666,247465,248410,249502,250406,251358,251644,252277,252687,254022,255067,256106,257127,258247,259650,260991,262638,264578,267154,270484,274141,277650,281020,284374,287878,291558,295048,298099,300642,303110,305951,309622,313538,317114,319431,322152
394910,46,"New Orleans, LA",Msa,LA,204779,205442,205073,204288,203417,203403,203533,204026,204004,204399,204449,203931,203441,203440,204651,205562,206638,207049,207302,207408,207897,208276,208620,210216,211959,213344,213677,214779,215774,216914,217462,218955,220327,222064,223722,225792,228499,231120,233330,234802,236617,239132,242465,245989,249535,252435,255085,258315,260935,263703,265379,268073
394425,47,"Buffalo, NY",Msa,NY,159178,159776,160432,161129,161668,162239,163051,164299,165553,166543,166963,167013,167647,168574,170243,171129,172341,173011,173578,173843,174130,174485,175271,176098,177161,177763,178276,178910,179128,179449,180271,182361,185552,188807,192064,194787,197205,199311,201198,203560,208847,215036,221556,224428,225958,226713,227796,228805,230607,232985,237566,241767
395012,48,"Raleigh, NC",Msa,NC,264625,265520,266560,267508,269206,270243,271517,272896,274525,275764,276865,278228,279968,281754,282950,283644,283648,284099,284684,285041,285565,286596,288053,289083,289405,289875,291123,292886,294054,294665,295567,297254,299820,302434,305649,309423,314016,318756,323346,328625,334979,343609,354252,366740,377968,388284,396111,404598,413645,424340,436331,448282
394388,49,"Birmingham, AL",Msa,AL,157377,158197,158557,159318,160213,160925,161832,162588,163710,164402,165201,165739,166276,166949,167584,168033,168530,169463,170737,171800,172383,173048,173896,175097,176218,177275,178822,180403,181841,182357,182838,184036,185761,187836,189556,191215,193319,195690,198163,200187,202441,204954,208471,211667,214709,217194,220096,223596,226462,229511,232109,235604
395053,50,"Salt Lake City, UT",Msa,UT,346695,349609,353218,356911,359910,361842,364979,367499,370050,371917,374126,377242,381972,386112,388758,389137,389099,389677,390947,393174,395409,396471,396971,397721,401027,404049,407433,409214,412567,415337,419304,424480,430105,436671,442827,451025,458087,466396,474569,484861,497887,514349,530835,545136,553642,562155,567436,576504,585195,600426,612003,625297
395031,51,"Rochester, NY",Msa,NY,146056,146508,146995,146811,146287,146058,146968,148406,149734,150547,151233,151951,152819,153853,154702,155524,156129,156850,157185,157708,158177,158657,159021,159244,159592,160412,161427,162660,163657,164453,165870,167540,169734,171616,173229,174756,176207,178038,180517,183268,186584,190431,194107,196182,196796,197080,198471,200617,203201,205836,208660,211734
394640,52,"Grand Rapids, MI",Msa,MI,192316,194244,195554,196796,198203,199848,201399,202917,203872,205064,206222,208318,209777,210836,211913,213381,215083,216050,216513,216123,216455,217211,219360,221079,222917,224247,226004,228097,228284,228186,228731,231512,234822,237597,240399,243148,246183,249274,252621,255685,259493,264330,269281,273122,275350,278488,281529,285250,288376,293003,297992,303321
395167,53,"Tucson, AZ",Msa,AZ,202238,203331,204561,206244,207673,208838,209842,210695,212146,213467,214770,214829,215662,216760,217704,218572,219211,220471,221596,222733,223866,224666,226259,228728,230101,231149,232025,234812,236103,237330,238514,241177,244126,246963,251965,257438,263688,268175,271576,274956,280364,289371,298615,306200,311303,315763,319705,321945,326261,331300,338694,344905
753924,54,"Urban Honolulu, HI",Msa,HI,833232,836571,840966,843556,844164,844691,846466,850577,852148,852621,850186,848508,847934,850017,851831,851013,849235,848533,849175,848269,845458,842815,838711,834813,833475,834202,834997,835641,837464,841528,842840,844809,847701,853645,860278,867155,875518,885021,896922,908555,926040,945026,968091,986444,1006437,1023368,1040766,1052787,1065213,1080412,1094705,1108778
395169,55,"Tulsa, OK",Msa,OK,144891,145360,145489,145493,145613,145818,146141,146589,146831,147264,147798,148334,148744,149095,149579,149765,149842,150027,150317,150673,151070,151749,152500,153034,153725,154658,155573,156431,157173,158099,159234,160509,161799,162877,164461,166431,168545,169578,170983,172562,175055,177989,180761,183476,185832,188766,191923,194857,197726,200647,203492,206609
394619,56,"Fresno, CA",Msa,CA,251989,254293,255419,256698,259474,262222,264468,264728,265190,265579,267043,268191,268890,269722,271273,271880,271549,271577,272796,274442,274988,275733,276044,276560,276720,277440,279619,281998,283218,282662,285324,289572,295198,297984,301022,304799,308521,312056,316687,322306,329805,337618,347151,355606,362685,365746,368554,370646,376238,382040,387826,393215
395238,57,"Worcester, MA",Msa,MA,284644,287482,288726,289907,290435,292963,294824,295999,296606,296367,296919,298356,298980,298686,298179,299099,300870,302576,303149,303706,303739,304922,305938,307456,309284,311076,313956,315720,317125,317235,318559,322194,327435,334048,340188,345063,349184,353388,360399,367027,373500,378754,384742,390453,393831,395375,397410,401335,407009,413707,419274,425911
394415,58,"Stamford, CT",Msa,CT,492084,491407,491756,492760,490234,490386,491642,494582,496413,497513,497917,498960,497061,496393,495100,495857,496264,493439,490497,488197,487888,489806,490348,490647,490163,489233,488654,488202,487233,488949,493071,501034,510335,520397,529560,537042,543410,549247,556187,561918,572748,586218,600068,608256,611608,614942,620815,625627,629639,635702,642398,652761
394312,59,"Albuquerque, NM",Msa,NM,194248,195083,196465,197875,198958,199479,199239,199260,199423,200725,201624,202951,203957,204800,205492,206373,207373,208432,209521,210652,211851,212544,213522,214805,216407,218062,219795,221673,223661,225035,226918,228779,231256,233685,236928,240078,243795,247543,251474,254720,258683,263223,268616,272702,276388,279735,283580,287830,292563,297368,302477,307150
394308,60,"Albany, NY",Msa,NY,192686,193963,195378,196676,198092,199214,199812,200664,201526,202011,201945,201859,202485,203474,204459,205076,205380,205342,205274,204816,204779,204674,205449,206486,207405,207678,207692,207891,208799,209550,210839,212196,214127,216786,219049,221941,224674,228378,231301,233943,235888,239263,242906,246858,249566,251972,254730,257050,259215,260409,262846,266227
394938,61,"Omaha, NE",Msa,NE,187087,188030,188878,189779,190670,191623,192429,193277,193962,194904,195884,197130,198045,198479,198765,199002,199405,200026,201090,202411,203629,204675,205840,207018,208584,209937,210956,211365,211189,211536,212351,214149,216328,219194,221640,223789,225829,228740,232061,234982,238491,241832,245109,247146,248806,250354,252286,255272,259028,262964,265953,268990
394908,62,"New Haven, CT",Msa,CT,238609,238811,239490,240046,240806,241229,241522,242243,243087,244099,244111,245057,244726,245295,245496,246316,246875,247000,247289,247195,247189,246436,246584,246428,247676,248704,250439,252125,253026,253069,254232,257180,262442,267680,272913,277525,280854,285091,289516,294992,300232,307228,313788,318198,319438,320672,322168,324803,328942,335035,340536,345088
394357,63,"Bakersfield, CA",Msa,CA,213908,214986,215861,217765,219566,220988,221101,221285,221613,223381,223956,225058,226393,227852,228843,228963,229641,230761,231569,232464,232876,233371,234107,234619,235275,236177,238714,240932,241770,242068,244254,247354,250650,252863,255795,260103,264432,268369,270597,274575,279039,285207,291789,299271,306204,312084,315533,317298,319137,323800,329981,335861
394753,64,"Knoxville, TN",Msa,TN,175402,176341,177374,178477,179510,180502,181518,182342,182992,183871,184702,185869,187104,188623,189758,191037,191946,192892,193182,193800,194688,195800,196928,197871,199164,200761,202574,204045,205367,206365,207549,208937,211123,213678,216686,219734,223061,226357,229730,233563,238163,243137,248919,254762,260744,266293,271343,277781,283849,291144,296385,302897
394653,65,"Greenville, SC",Msa,SC,190682,191552,192531,193588,194757,195704,196655,197756,199143,200190,201471,202861,203926,204694,205123,206034,206891,207659,208454,209281,210056,210784,211436,212235,212968,213553,214193,215050,216027,216890,217854,219376,221546,223670,225996,228076,230213,232550,234676,237218,239406,242728,246817,251063,255295,259704,264628,269829,275101,280931,286628,293179
394952,66,"Ventura, CA",Msa,CA,618369,623384,627319,624898,625038,626294,629334,632881,635191,637388,637210,636618,636675,636464,636650,637962,638546,636970,634996,634893,636824,639571,640282,643438,646223,647261,646637,646047,647858,648183,651572,656440,667372,675447,682852,688035,696649,703654,712732,721570,743361,766159,789657,807148,818951,824331,828529,834944,847465,865908,885500,904468
394318,67,"Allentown, PA",Msa,PA,198855,200197,201289,202554,203658,204787,205747,206510,207233,208065,208855,209615,210477,210942,211491,211542,212147,212626,213060,213121,213335,213669,214360,214649,215651,216550,217771,218758,219512,220546,222024,224483,227499,230907,234673,238709,242180,245727,248821,252504,256579,261448,265650,269436,272835,276036,279068,281933,285427,288941,292866,296710
394561,68,"El Paso, TX",Msa,TX,128726,128811,128641,128541,128487,129217,129945,130597,131027,131629,132285,132669,133049,133762,134689,135769,136903,138019,138763,139264,138418,137362,136685,137253,138311,139279,139740,139963,140077,140519,141380,142360,144140,146260,148317,150086,151916,153748,155820,157720,160599,163572,166748,169599,172499,174850,176902,178613,180629,182613,184788,188249
394367,69,"Baton Rouge, LA",Msa,LA,196779,198596,198844,198226,197368,197141,196706,196514,196110,195622,194706,194331,194293,194625,194074,193451,192928,192844,192997,192891,192571,192134,192022,192560,193561,194829,196294,197542,197791,197478,197228,197457,197785,198079,199510,200703,202192,203036,204101,205134,206866,209298,211662,214079,215892,218148,220129,222777,225432,228462,231945,235550
394521,70,"Dayton, OH",Msa,OH,122765,123743,124334,125016,125790,126648,127786,128440,128910,129051,129616,130392,130754,131287,131637,132435,133466,134722,135583,136099,136382,137121,137882,138689,139400,140261,141702,143292,144391,145389,146442,147880,149537,151247,153285,155068,156885,158655,160692,163093,165908,168569,171160,173407,175559,177618,179366,180294,181778,184160,187354,189845
