,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,3/31/2021_x,4/30/2021_x,5/31/2021_x,6/30/2021_x,7/31/2021_x,8/31/2021_x,9/30/2021_x,10/31/2021_x,11/30/2021_x,12/31/2021_x,1/31/2022_x,2/28/2022_x,3/31/2022_x,4/30/2022_x,2020-NowAvg,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_y,3/31/2021_y,4/30/2021_y,5/31/2021_y,6/30/2021_y,7/31/2021_y,8/31/2021_y,9/30/2021_y,10/31/2021_y,11/30/2021_y,12/31/2021_y,1/31/2022_y,2/28/2022_y,3/31/2022_y,4/30/2022_y,2020-NowAvgDays,POPESTIMATE2020
99,395167,53,"Tucson, AZ",Msa,AZ,230101.0,231149.0,232025.0,234812.0,236103.0,237330.0,238514.0,241177.0,244126.0,246963.0,251965.0,257438.0,263688.0,268175.0,271576.0,274956.0,280364.0,289371.0,298615.0,306200.0,311303.0,315763.0,319705.0,321945.0,326261.0,331300.0,338694.0,344905,276590.14285714284,69.0,53.0,53.0,63.0,64.0,64.0,58.0,50.0,51.0,51.0,58.0,62.0,54.0,39.0,40.0,43.0,40.0,40.0,43.0,42.0,45.0,45.0,49.0,51.0,48.0,38.0,37.0,37.0,49.535714285714285,553571
101,395169,55,"Tulsa, OK",Msa,OK,153725.0,154658.0,155573.0,156431.0,157173.0,158099.0,159234.0,160509.0,161799.0,162877.0,164461.0,166431.0,168545.0,169578.0,170983.0,172562.0,175055.0,177989.0,180761.0,183476.0,185832.0,188766.0,191923.0,194857.0,197726.0,200647.0,203492.0,206609,174277.5357142857,67.0,53.0,45.0,54.0,50.0,47.0,49.0,47.0,50.0,47.0,50.0,54.0,53.0,66.0,31.0,41.0,42.0,43.0,44.0,45.0,45.0,44.0,45.0,47.0,45.0,40.0,40.0,37.0,47.17857142857143,403166
102,394619,56,"Fresno, CA",Msa,CA,276720.0,277440.0,279619.0,281998.0,283218.0,282662.0,285324.0,289572.0,295198.0,297984.0,301022.0,304799.0,308521.0,312056.0,316687.0,322306.0,329805.0,337618.0,347151.0,355606.0,362685.0,365746.0,368554.0,370646.0,376238.0,382040.0,387826.0,393215,324723.4285714286,55.0,43.0,41.0,59.0,17.0,13.0,44.0,43.0,45.0,45.0,48.0,50.0,47.0,40.0,39.0,41.0,41.0,41.0,41.0,42.0,49.0,35.0,42.0,44.0,41.0,37.0,37.0,37.0,41.32142857142857,530267
104,395238,57,"Worcester, MA",Msa,MA,309284.0,311076.0,313956.0,315720.0,317125.0,317235.0,318559.0,322194.0,327435.0,334048.0,340188.0,345063.0,349184.0,353388.0,360399.0,367027.0,373500.0,378754.0,384742.0,390453.0,393831.0,395375.0,397410.0,401335.0,407009.0,413707.0,419274.0,425911,360113.64285714284,81.0,56.0,51.0,57.0,56.0,53.0,54.0,56.0,55.0,56.0,56.0,63.0,60.0,54.0,51.0,50.0,52.0,54.0,52.0,54.0,53.0,53.0,54.0,56.0,57.0,51.0,47.0,47.0,54.964285714285715,184570
108,394415,58,"Stamford, CT",Msa,CT,490163.0,489233.0,488654.0,488202.0,487233.0,488949.0,493071.0,501034.0,510335.0,520397.0,529560.0,537042.0,543410.0,549247.0,556187.0,561918.0,572748.0,586218.0,600068.0,608256.0,611608.0,614942.0,620815.0,625627.0,629639.0,635702.0,642398.0,652761,558407.75,113.0,74.0,63.0,89.0,84.0,64.0,66.0,69.0,72.0,83.0,98.0,111.0,105.0,70.0,63.0,64.0,64.0,76.0,79.0,81.0,85.0,78.0,75.0,94.0,96.0,60.0,55.0,55.0,78.07142857142857,131397
111,394312,59,"Albuquerque, NM",Msa,NM,216407.0,218062.0,219795.0,221673.0,223661.0,225035.0,226918.0,228779.0,231256.0,233685.0,236928.0,240078.0,243795.0,247543.0,251474.0,254720.0,258683.0,263223.0,268616.0,272702.0,276388.0,279735.0,283580.0,287830.0,292563.0,297368.0,302477.0,307150,253933.0,64.0,45.0,42.0,53.0,48.0,46.0,46.0,46.0,47.0,48.0,50.0,49.0,50.0,44.0,42.0,42.0,43.0,43.0,44.0,42.0,44.0,42.0,44.0,44.0,43.0,39.0,38.0,38.0,45.214285714285715,562540
113,394308,60,"Albany, NY",Msa,NY,207405.0,207678.0,207692.0,207891.0,208799.0,209550.0,210839.0,212196.0,214127.0,216786.0,219049.0,221941.0,224674.0,228378.0,231301.0,233943.0,235888.0,239263.0,242906.0,246858.0,249566.0,251972.0,254730.0,257050.0,259215.0,260409.0,262846.0,266227,231756.39285714287,56.0,28.0,13.0,24.0,13.0,9.0,9.0,10.0,9.0,12.0,17.0,20.0,25.0,9.0,6.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,23.0,18.0,15.0,8.0,7.0,6.0,14.035714285714286,95429
117,394938,61,"Omaha, NE",Msa,NE,208584.0,209937.0,210956.0,211365.0,211189.0,211536.0,212351.0,214149.0,216328.0,219194.0,221640.0,223789.0,225829.0,228740.0,232061.0,234982.0,238491.0,241832.0,245109.0,247146.0,248806.0,250354.0,252286.0,255272.0,259028.0,262964.0,265953.0,268990,233173.60714285713,54.0,47.0,41.0,50.0,54.0,50.0,51.0,54.0,14.0,7.0,48.0,48.0,43.0,35.0,41.0,41.0,40.0,42.0,41.0,41.0,41.0,41.0,42.0,41.0,39.0,35.0,34.0,35.0,41.07142857142857,478393
119,394908,62,"New Haven, CT",Msa,CT,247676.0,248704.0,250439.0,252125.0,253026.0,253069.0,254232.0,257180.0,262442.0,267680.0,272913.0,277525.0,280854.0,285091.0,289516.0,294992.0,300232.0,307228.0,313788.0,318198.0,319438.0,320672.0,322168.0,324803.0,328942.0,335035.0,340536.0,345088,290128.28571428574,91.0,66.0,52.0,68.0,66.0,54.0,57.0,58.0,59.0,66.0,85.0,96.0,95.0,57.0,55.0,54.0,56.0,62.0,62.0,64.0,67.0,67.0,68.0,73.0,76.0,55.0,50.0,48.0,65.25,130801
122,394357,63,"Bakersfield, CA",Msa,CA,235275.0,236177.0,238714.0,240932.0,241770.0,242068.0,244254.0,247354.0,250650.0,252863.0,255795.0,260103.0,264432.0,268369.0,270597.0,274575.0,279039.0,285207.0,291789.0,299271.0,306204.0,312084.0,315533.0,317298.0,319137.0,323800.0,329981.0,335861,276397.5714285714,56.0,48.0,45.0,60.0,50.0,52.0,53.0,53.0,50.0,49.0,53.0,57.0,44.0,39.0,44.0,46.0,45.0,46.0,47.0,46.0,46.0,48.0,49.0,47.0,48.0,40.0,41.0,41.0,47.964285714285715,385725
124,394753,64,"Knoxville, TN",Msa,TN,199164.0,200761.0,202574.0,204045.0,205367.0,206365.0,207549.0,208937.0,211123.0,213678.0,216686.0,219734.0,223061.0,226357.0,229730.0,233563.0,238163.0,243137.0,248919.0,254762.0,260744.0,266293.0,271343.0,277781.0,283849.0,291144.0,296385.0,302897,237289.67857142858,68.0,46.0,40.0,47.0,46.0,47.0,44.0,43.0,45.0,44.0,46.0,46.0,48.0,40.0,40.0,40.0,40.0,42.0,40.0,42.0,41.0,41.0,43.0,44.0,43.0,37.0,35.0,34.0,43.285714285714285,190223
126,394653,65,"Greenville, SC",Msa,SC,212968.0,213553.0,214193.0,215050.0,216027.0,216890.0,217854.0,219376.0,221546.0,223670.0,225996.0,228076.0,230213.0,232550.0,234676.0,237218.0,239406.0,242728.0,246817.0,251063.0,255295.0,259704.0,264628.0,269829.0,275101.0,280931.0,286628.0,293179,240184.4642857143,80.0,61.0,49.0,55.0,60.0,58.0,53.0,52.0,54.0,51.0,56.0,58.0,46.0,41.0,47.0,44.0,42.0,44.0,43.0,43.0,45.0,44.0,43.0,45.0,48.0,39.0,38.0,37.0,49.142857142857146,72227
128,394318,67,"Allentown, PA",Msa,PA,215651.0,216550.0,217771.0,218758.0,219512.0,220546.0,222024.0,224483.0,227499.0,230907.0,234673.0,238709.0,242180.0,245727.0,248821.0,252504.0,256579.0,261448.0,265650.0,269436.0,272835.0,276036.0,279068.0,281933.0,285427.0,288941.0,292866.0,296710,250115.85714285713,114.0,92.0,69.0,86.0,85.0,66.0,62.0,55.0,41.0,49.0,55.0,64.0,51.0,48.0,51.0,51.0,50.0,52.0,54.0,52.0,54.0,56.0,55.0,56.0,57.0,50.0,46.0,45.0,59.5,121470
132,394561,68,"El Paso, TX",Msa,TX,138311.0,139279.0,139740.0,139963.0,140077.0,140519.0,141380.0,142360.0,144140.0,146260.0,148317.0,150086.0,151916.0,153748.0,155820.0,157720.0,160599.0,163572.0,166748.0,169599.0,172499.0,174850.0,176902.0,178613.0,180629.0,182613.0,184788.0,188249,158189.17857142858,66.0,42.0,46.0,61.0,65.0,44.0,48.0,47.0,45.0,37.0,44.0,55.0,56.0,55.0,61.0,51.0,44.0,32.0,48.0,48.0,49.0,51.0,53.0,53.0,53.0,46.0,42.0,43.0,49.464285714285715,681534
134,394367,69,"Baton Rouge, LA",Msa,LA,193561.0,194829.0,196294.0,197542.0,197791.0,197478.0,197228.0,197457.0,197785.0,198079.0,199510.0,200703.0,202192.0,203036.0,204101.0,205134.0,206866.0,209298.0,211662.0,214079.0,215892.0,218148.0,220129.0,222777.0,225432.0,228462.0,231945.0,235550,207962.85714285713,116.0,86.0,72.0,79.0,86.0,70.0,66.0,65.0,66.0,65.0,61.0,68.0,70.0,62.0,59.0,39.0,45.0,46.0,45.0,45.0,54.0,45.0,43.0,43.0,42.0,36.0,37.0,36.0,58.82142857142857,219052
136,394521,70,"Dayton, OH",Msa,OH,139400.0,140261.0,141702.0,143292.0,144391.0,145389.0,146442.0,147880.0,149537.0,151247.0,153285.0,155068.0,156885.0,158655.0,160692.0,163093.0,165908.0,168569.0,171160.0,173407.0,175559.0,177618.0,179366.0,180294.0,181778.0,184160.0,187354.0,189845,161865.60714285713,56.0,41.0,38.0,44.0,43.0,42.0,41.0,43.0,44.0,44.0,43.0,46.0,45.0,39.0,42.0,39.0,40.0,40.0,39.0,40.0,43.0,42.0,43.0,43.0,42.0,36.0,37.0,34.0,41.75,139907
139,394843,71,"McAllen, TX",Msa,TX,122503.0,123679.0,124597.0,125245.0,125702.0,126210.0,126970.0,127999.0,129260.0,130644.0,132211.0,133551.0,134874.0,136028.0,136786.0,137535.0,138739.0,140599.0,142635.0,144689.0,147151.0,149773.0,152515.0,155012.0,157394.0,159454.0,161917.0,164220,138853.2857142857,86.0,75.0,70.0,87.0,93.0,80.0,76.0,72.0,58.0,57.0,54.0,68.0,65.0,65.0,68.0,59.0,53.0,53.0,57.0,55.0,56.0,53.0,55.0,60.0,76.0,56.0,55.0,51.0,64.75,143751
141,394486,72,"Columbia, SC",Msa,SC,165662.0,166204.0,166890.0,167347.0,168112.0,168933.0,170162.0,171226.0,172500.0,173964.0,175333.0,176623.0,178170.0,180127.0,182408.0,184547.0,187284.0,190604.0,194474.0,198307.0,201941.0,205470.0,208800.0,212260.0,215906.0,219971.0,224362.0,229048,187736.9642857143,87.0,65.0,59.0,62.0,68.0,64.0,58.0,63.0,59.0,61.0,61.0,59.0,60.0,55.0,50.0,49.0,50.0,58.0,54.0,52.0,55.0,54.0,53.0,56.0,53.0,51.0,48.0,43.0,57.392857142857146,132130
142,394648,73,"Greensboro, NC",Msa,NC,160532.0,161570.0,163147.0,164783.0,166461.0,167575.0,168185.0,169345.0,170926.0,173276.0,175545.0,177603.0,179879.0,182167.0,184579.0,186615.0,189323.0,192747.0,196473.0,200194.0,203400.0,206606.0,209044.0,212175.0,215887.0,219676.0,223525.0,227974,187471.85714285713,70.0,54.0,42.0,59.0,53.0,51.0,50.0,45.0,47.0,47.0,49.0,50.0,54.0,44.0,38.0,44.0,35.0,38.0,37.0,36.0,39.0,39.0,38.0,41.0,41.0,33.0,35.0,35.0,44.42857142857143,297878
144,394304,74,"Akron, OH",Msa,OH,154332.0,155575.0,157116.0,158287.0,159122.0,159542.0,160531.0,161864.0,163156.0,164914.0,166928.0,168606.0,170590.0,172060.0,174381.0,176120.0,178739.0,181024.0,183567.0,185364.0,187430.0,188899.0,190972.0,192860.0,194941.0,197163.0,199444.0,201971,175196.35714285713,79.0,51.0,48.0,25.0,50.0,46.0,46.0,45.0,51.0,49.0,53.0,65.0,46.0,38.0,43.0,41.0,41.0,43.0,43.0,43.0,47.0,45.0,46.0,48.0,51.0,40.0,39.0,37.0,46.392857142857146,195994
148,394798,76,"Little Rock, AR",Msa,AR,152083.0,152022.0,152386.0,153071.0,153890.0,154542.0,155434.0,156518.0,157653.0,158844.0,159993.0,161145.0,162343.0,163091.0,163848.0,164666.0,166844.0,169229.0,172212.0,174150.0,176807.0,178547.0,181255.0,183610.0,186443.0,188316.0,189751.0,191450,167147.9642857143,88.0,76.0,64.0,78.0,66.0,70.0,67.0,66.0,49.0,59.0,52.0,66.0,61.0,61.0,72.0,43.0,49.0,38.0,38.0,44.0,46.0,43.0,47.0,51.0,44.0,36.0,35.0,37.0,55.214285714285715,197866
150,395134,77,"Stockton, CA",Msa,CA,382088.0,385087.0,387284.0,390827.0,391376.0,389597.0,391527.0,394568.0,402529.0,408193.0,415632.0,422801.0,431630.0,442478.0,450806.0,457317.0,467154.0,480958.0,500486.0,515350.0,526740.0,530760.0,533366.0,533734.0,537502.0,542624.0,556209.0,569082,458489.46428571426,58.0,38.0,37.0,49.0,43.0,42.0,41.0,42.0,42.0,43.0,42.0,44.0,42.0,35.0,38.0,38.0,40.0,39.0,39.0,40.0,42.0,42.0,42.0,43.0,39.0,36.0,33.0,37.0,40.92857142857143,312716
152,394457,78,"Charleston, SC",Msa,SC,282884.0,283988.0,284690.0,285371.0,286091.0,287367.0,288971.0,290979.0,293393.0,296192.0,299053.0,302015.0,304926.0,308307.0,312004.0,317390.0,323045.0,330770.0,338778.0,347364.0,354377.0,359944.0,365988.0,372295.0,379695.0,388103.0,396844.0,405829,324523.3214285714,89.0,58.0,53.0,63.0,64.0,61.0,62.0,60.0,55.0,55.0,56.0,56.0,56.0,45.0,44.0,43.0,44.0,44.0,43.0,43.0,47.0,44.0,45.0,45.0,44.0,39.0,37.0,39.0,51.214285714285715,139714
153,395143,79,"Syracuse, NY",Msa,NY,146697.0,147347.0,148652.0,150116.0,151249.0,152202.0,153631.0,154848.0,156681.0,158300.0,160281.0,161974.0,163360.0,165221.0,166299.0,168280.0,170374.0,173312.0,175662.0,177409.0,178443.0,179352.0,180464.0,181907.0,183556.0,185852.0,188940.0,192139,166876.7142857143,122.0,92.0,57.0,98.0,79.0,68.0,71.0,70.0,77.0,79.0,88.0,95.0,104.0,81.0,68.0,68.0,67.0,72.0,74.0,76.0,81.0,79.0,79.0,83.0,79.0,77.0,66.0,64.0,79.07142857142857,141229
157,395235,81,"Winston-Salem, NC",Msa,NC,162923.0,163627.0,164134.0,164811.0,165914.0,167096.0,168565.0,169856.0,171416.0,173149.0,175015.0,177366.0,180276.0,183108.0,186182.0,189030.0,191893.0,194322.0,197140.0,201023.0,205093.0,208902.0,211713.0,215702.0,219776.0,224330.0,228417.0,232595,189049.07142857142,74.0,51.0,43.0,60.0,61.0,62.0,55.0,49.0,50.0,51.0,50.0,58.0,54.0,43.0,40.0,43.0,36.0,41.0,38.0,38.0,39.0,38.0,40.0,43.0,46.0,37.0,38.0,35.0,46.892857142857146,248112
159,395224,82,"Wichita, KS",Msa,KS,145077.0,145798.0,146774.0,147633.0,148610.0,149429.0,150316.0,151061.0,152315.0,153982.0,156268.0,158307.0,160576.0,162384.0,164044.0,165146.0,166877.0,168847.0,170844.0,172590.0,174778.0,177058.0,178930.0,180480.0,182041.0,183871.0,185731.0,187500,163830.9642857143,62.0,49.0,43.0,50.0,50.0,47.0,48.0,48.0,48.0,52.0,50.0,57.0,27.0,6.0,42.0,42.0,43.0,44.0,43.0,46.0,46.0,44.0,46.0,45.0,44.0,40.0,38.0,4.0,43.0,391731
163,395115,83,"Springfield, MA",Msa,MA,242187.0,243951.0,244899.0,245997.0,246909.0,248565.0,250571.0,252736.0,255266.0,257868.0,261250.0,265058.0,269487.0,272195.0,275062.0,277994.0,282235.0,287163.0,291169.0,295726.0,299183.0,301938.0,303528.0,304995.0,307928.0,311178.0,314917.0,319143,276039.21428571426,82.0,63.0,53.0,57.0,58.0,54.0,55.0,56.0,58.0,56.0,60.0,62.0,58.0,54.0,52.0,53.0,54.0,56.0,56.0,56.0,54.0,55.0,58.0,57.0,60.0,51.0,48.0,49.0,56.607142857142854,152646
167,394440,84,"Fort Myers, FL",Msa,FL,251789.0,252414.0,253756.0,254878.0,256953.0,257906.0,259107.0,260801.0,263130.0,264973.0,266927.0,269282.0,272084.0,274933.0,280240.0,286294.0,295607.0,306143.0,317730.0,329472.0,341209.0,352453.0,360940.0,368663.0,377517.0,391546.0,406806.0,424588,303505.03571428574,91.0,71.0,72.0,85.0,93.0,78.0,75.0,69.0,67.0,61.0,64.0,66.0,57.0,49.0,48.0,47.0,44.0,47.0,44.0,44.0,45.0,45.0,47.0,47.0,46.0,39.0,40.0,41.0,57.92857142857143,91086
169,394399,85,"Boise City, ID",Msa,ID,319525.0,323083.0,326498.0,329558.0,331237.0,333841.0,336602.0,341609.0,347621.0,356851.0,368138.0,381383.0,395071.0,409197.0,422426.0,439398.0,453014.0,471488.0,485869.0,500089.0,506284.0,508170.0,507055.0,507506.0,512156.0,517822.0,519789.0,518004,420331.5714285714,48.0,36.0,34.0,41.0,42.0,46.0,42.0,38.0,38.0,43.0,39.0,35.0,36.0,34.0,8.0,5.0,33.0,34.0,36.0,39.0,43.0,46.0,51.0,54.0,45.0,34.0,32.0,33.0,37.32142857142857,229776
171,395160,86,"Toledo, OH",Msa,OH,125328.0,126098.0,127128.0,128362.0,129130.0,129939.0,131124.0,132810.0,134459.0,135638.0,136437.0,136651.0,138002.0,139581.0,141947.0,144451.0,146335.0,148631.0,150079.0,152362.0,153665.0,154553.0,155284.0,156401.0,158272.0,160237.0,162009.0,163447,142798.57142857142,91.0,57.0,49.0,57.0,50.0,48.0,50.0,50.0,51.0,48.0,54.0,68.0,66.0,48.0,43.0,41.0,39.0,41.0,44.0,43.0,49.0,52.0,51.0,57.0,59.0,43.0,37.0,35.0,50.75,271455
175,394816,87,"Madison, WI",Msa,WI,298582.0,300604.0,302825.0,304931.0,305684.0,306296.0,306963.0,308996.0,311700.0,314421.0,317811.0,320078.0,322770.0,325873.0,329364.0,332973.0,336366.0,341683.0,347392.0,353076.0,355751.0,358447.0,360678.0,365314.0,370456.0,376653.0,382481.0,387850,333786.35714285716,102.0,53.0,46.0,65.0,61.0,49.0,60.0,58.0,62.0,58.0,65.0,73.0,57.0,45.0,39.0,41.0,42.0,43.0,49.0,47.0,58.0,52.0,67.0,69.0,43.0,35.0,36.0,36.0,53.964285714285715,263094
179,394766,88,"Lakeland, FL",Msa,FL,196490.0,198021.0,199696.0,201077.0,201349.0,202057.0,202500.0,204244.0,206598.0,209723.0,211887.0,213437.0,215894.0,218286.0,221106.0,224374.0,228762.0,234691.0,241036.0,247933.0,254561.0,261119.0,268035.0,273429.0,279758.0,286103.0,294093.0,302021,232081.42857142858,77.0,57.0,51.0,61.0,61.0,64.0,56.0,53.0,53.0,52.0,54.0,57.0,53.0,46.0,45.0,44.0,42.0,43.0,44.0,43.0,44.0,45.0,45.0,47.0,45.0,41.0,41.0,39.0,50.107142857142854,115283
181,394931,89,"Ogden, UT",Msa,UT,335741.0,338512.0,341824.0,344842.0,347269.0,349177.0,351766.0,355524.0,360852.0,366855.0,372420.0,379990.0,386611.0,395550.0,403187.0,413386.0,425555.0,439550.0,454184.0,465007.0,474459.0,482116.0,490436.0,499162.0,508925.0,520439.0,532044.0,541799,417042.21428571426,55.0,38.0,32.0,40.0,39.0,39.0,37.0,38.0,37.0,37.0,37.0,37.0,11.0,5.0,5.0,33.0,31.0,33.0,33.0,33.0,34.0,36.0,35.0,37.0,35.0,29.0,30.0,29.0,32.67857142857143,87387
183,394528,90,"Daytona Beach, FL",Msa,FL,223311.0,224644.0,225561.0,226586.0,227026.0,228120.0,228514.0,229333.0,230704.0,232982.0,235701.0,238385.0,240588.0,244090.0,248124.0,253200.0,258414.0,264413.0,272128.0,280663.0,289197.0,295726.0,300954.0,306503.0,313911.0,321624.0,329278.0,337563,260972.9642857143,82.0,66.0,58.0,73.0,80.0,72.0,69.0,61.0,58.0,59.0,57.0,59.0,59.0,48.0,46.0,48.0,41.0,44.0,45.0,46.0,48.0,46.0,48.0,52.0,47.0,41.0,41.0,38.0,54.714285714285715,70143
185,394531,91,"Des Moines, IA",Msa,IA,215141.0,215424.0,215877.0,216134.0,216975.0,217817.0,219218.0,220444.0,221683.0,222774.0,224406.0,225388.0,226897.0,229347.0,232696.0,235771.0,238208.0,240945.0,244201.0,247163.0,249584.0,251521.0,253784.0,257010.0,260323.0,263496.0,265642.0,268246,235575.5357142857,103.0,76.0,53.0,61.0,65.0,58.0,58.0,59.0,62.0,61.0,63.0,73.0,69.0,52.0,52.0,48.0,48.0,50.0,51.0,53.0,53.0,54.0,57.0,61.0,67.0,46.0,45.0,45.0,58.67857142857143,212312
186,394711,92,"Jackson, MS",Msa,MS,141435.0,142085.0,142328.0,142283.0,142133.0,142206.0,142532.0,143226.0,144205.0,145695.0,147343.0,149225.0,151034.0,152509.0,153591.0,154936.0,156847.0,159443.0,162486.0,165155.0,167648.0,169255.0,170867.0,172847.0,175353.0,177940.0,180578.0,182849,156358.35714285713,81.0,56.0,55.0,61.0,57.0,56.0,53.0,53.0,55.0,49.0,49.0,57.0,48.0,48.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0,45.0,43.0,43.0,46.0,38.0,39.0,39.0,49.214285714285715,157821
187,395245,93,"Youngstown, OH",Msa,OH,98730.0,98681.0,98682.0,98952.0,99820.0,100808.0,101789.0,103430.0,105192.0,107357.0,108958.0,110827.0,111965.0,113387.0,115210.0,118106.0,120709.0,123201.0,125160.0,127144.0,128456.0,129941.0,131648.0,133666.0,135431.0,137340.0,138992.0,140996,116592.07142857143,100.0,76.0,59.0,44.0,64.0,60.0,61.0,65.0,60.0,58.0,64.0,72.0,64.0,44.0,51.0,48.0,46.0,50.0,49.0,53.0,58.0,58.0,55.0,74.0,64.0,50.0,43.0,42.0,58.285714285714285,63828
190,395075,95,"Scranton, PA",Msa,PA,121051.0,121177.0,121674.0,122377.0,123251.0,123916.0,124111.0,124704.0,126016.0,128337.0,131205.0,133514.0,135493.0,136625.0,137901.0,139455.0,141950.0,144896.0,148529.0,151588.0,154470.0,156737.0,159249.0,161368.0,163303.0,164923.0,167226.0,169659,140525.17857142858,99.0,80.0,78.0,122.0,107.0,62.0,57.0,68.0,59.0,64.0,65.0,69.0,77.0,63.0,54.0,59.0,54.0,59.0,59.0,63.0,54.0,61.0,37.0,19.0,66.0,60.0,53.0,48.0,64.85714285714286,76532
194,394666,96,"Harrisburg, PA",Msa,PA,195276.0,196274.0,197224.0,198014.0,198892.0,199822.0,200821.0,201868.0,203320.0,205168.0,207355.0,209558.0,211823.0,214124.0,216767.0,219799.0,222581.0,225532.0,228241.0,230987.0,233478.0,235777.0,238255.0,241075.0,244256.0,247648.0,250454.0,252964,218834.0357142857,78.0,51.0,43.0,66.0,10.0,50.0,49.0,51.0,64.0,34.0,47.0,55.0,53.0,46.0,45.0,46.0,48.0,48.0,49.0,49.0,51.0,51.0,49.0,49.0,51.0,46.0,43.0,40.0,48.642857142857146,49322
198,394957,97,"Melbourne, FL",Msa,FL,231344.0,233219.0,235283.0,236429.0,236687.0,237266.0,238116.0,241027.0,243716.0,246356.0,248598.0,250635.0,254395.0,257947.0,261980.0,265899.0,271813.0,279059.0,286811.0,293584.0,299544.0,305776.0,313478.0,320677.0,326898.0,332906.0,340767.0,351009,272900.6785714286,75.0,61.0,53.0,63.0,66.0,67.0,58.0,55.0,55.0,56.0,47.0,52.0,49.0,44.0,41.0,42.0,42.0,42.0,41.0,42.0,43.0,42.0,42.0,45.0,43.0,39.0,38.0,36.0,49.25,83376
200,395113,99,"Spokane, WA",Msa,WA,283369.0,288729.0,294606.0,297888.0,299616.0,298788.0,298497.0,300961.0,305839.0,311557.0,318342.0,325226.0,333137.0,339150.0,345174.0,352397.0,361598.0,373262.0,383383.0,391703.0,397908.0,403614.0,410070.0,416412.0,422828.0,432026.0,440894.0,449769,352740.8214285714,73.0,46.0,41.0,49.0,49.0,47.0,50.0,48.0,50.0,54.0,55.0,55.0,36.0,35.0,39.0,37.0,37.0,38.0,39.0,39.0,40.0,41.0,46.0,43.0,41.0,36.0,35.0,35.0,44.07142857142857,222050
202,395006,100,"Provo, UT",Msa,UT,384837.0,387865.0,391323.0,393533.0,394738.0,396538.0,399468.0,404215.0,410121.0,416971.0,423422.0,431592.0,437833.0,447402.0,454766.0,464973.0,479675.0,500091.0,519556.0,533619.0,540265.0,545165.0,551399.0,560891.0,569266.0,579538.0,587123.0,602586,471741.8214285714,59.0,41.0,33.0,43.0,41.0,44.0,38.0,38.0,40.0,38.0,37.0,39.0,9.0,5.0,33.0,33.0,32.0,35.0,35.0,35.0,37.0,36.0,36.0,39.0,36.0,29.0,30.0,31.0,35.07142857142857,116295
204,394768,101,"Lancaster, PA",Msa,PA,236592.0,236991.0,238738.0,240076.0,241192.0,242095.0,243356.0,245334.0,247488.0,250535.0,254424.0,258581.0,263405.0,267614.0,270479.0,272883.0,275868.0,280563.0,284812.0,288804.0,291828.0,295669.0,298984.0,302061.0,305010.0,308438.0,311600.0,315672,270324.71428571426,62.0,50.0,43.0,67.0,11.0,48.0,50.0,51.0,63.0,37.0,48.0,52.0,52.0,47.0,46.0,46.0,46.0,49.0,49.0,50.0,49.0,50.0,50.0,50.0,48.0,46.0,44.0,41.0,48.035714285714285,58990
208,394871,102,"Modesto, CA",Msa,CA,333750.0,336102.0,337547.0,339013.0,342725.0,344687.0,347356.0,349646.0,354109.0,358109.0,361554.0,366609.0,372161.0,377039.0,381475.0,386797.0,395347.0,404819.0,416783.0,426017.0,432943.0,437995.0,440398.0,443891.0,446726.0,454456.0,462420.0,471267,390062.1785714286,51.0,38.0,39.0,47.0,47.0,41.0,42.0,40.0,42.0,42.0,42.0,45.0,40.0,36.0,39.0,39.0,37.0,38.0,38.0,40.0,40.0,41.0,40.0,45.0,40.0,35.0,34.0,36.0,40.5,215666
210,394997,103,"Portland, ME",Msa,ME,329900.0,332478.0,336126.0,339913.0,341934.0,342606.0,342994.0,345735.0,350252.0,356257.0,362438.0,368883.0,375146.0,379446.0,385021.0,391945.0,402179.0,413286.0,424355.0,433008.0,437693.0,440627.0,443455.0,448847.0,455031.0,461203.0,467433.0,473275,392195.21428571426,87.0,54.0,44.0,52.0,48.0,49.0,48.0,51.0,38.0,54.0,55.0,62.0,58.0,52.0,50.0,51.0,50.0,29.0,45.0,49.0,51.0,49.0,48.0,53.0,50.0,46.0,42.0,41.0,50.214285714285715,66803
214,394549,104,"Durham, NC",Msa,NC,279755.0,280671.0,281480.0,282454.0,283322.0,284331.0,285634.0,287253.0,289121.0,291324.0,294267.0,297295.0,300601.0,304717.0,309250.0,314576.0,321204.0,329447.0,338459.0,347907.0,356774.0,365854.0,372861.0,380569.0,389767.0,400283.0,410938.0,422100,325079.0714285714,76.0,43.0,40.0,54.0,45.0,46.0,48.0,43.0,43.0,43.0,46.0,48.0,47.0,39.0,38.0,38.0,37.0,40.0,37.0,38.0,38.0,40.0,38.0,40.0,44.0,36.0,34.0,35.0,42.642857142857146,285897
