RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394507,722,"Crawfordsville, IN",Msa,IN,53,55,22,22,12,17,20,21,15,31,35,49,31,22,8,9,9,7,16,26,33,21,29,43,48,34,11,8,11,11,4,5,7,9,6,13,6,4,4,3,3,7,5,6,8,7,8,13,14,4,4,4
394422,723,"Brownwood, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,81,47,61,44,39,46,28,36,43,36,41,35,40,28,16,18,21,28,35,30,23,26,28,40,34,22,10
395129,725,"Stephenville, TX",Msa,TX,,,,,,,,,,,,,,20,56,36,29,40,35,40,41,54,49,99,36,40,47,25,33,31,32,31,62,40,50,55,74,29,31,14,25,21,21,23,38,42,24,37,48,20,15,9
394554,727,"Easton, MD",Msa,MD,,,,,,,,,,,,,,38,35,28,32,66,55,63,64,98,140,68,125,68,73,39,59,46,49,47,37,35,34,39,43,26,21,14,14,10,14,20,23,21,43,24,63,14,18,6
394914,729,"Newberry, SC",Msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,18,15
394300,730,"Ada, OK",Msa,OK,93,50,29,38,30,40,39,60,66,44,94,93,28,72,66,15,33,52,15,25,91,42,70,29,68,19,30,41,26,15,16,24,31,10,29,34,16,36,6,7,4,4,8,13,9,9,19,18,14,26,6,6
394881,731,"Moscow, ID",Msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5
395046,732,"Safford, AZ",Msa,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,29
394894,733,"Murray, KY",Msa,KY,,,,,,,,,,,,,,,,,,,,,,51,45,90,57,115,40,31,52,24,17,18,22,34,19,34,33,23,7,5,12,5,15,5,18,7,6,11,54,8,5,6
394382,734,"Bennington, VT",Msa,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,59,39,35,50,21,10,13,8,8,10,13,10,11,16,18,19,11,9,9
